"team_selection1","team_position","team_name","team_points","team_played","team_win","team_draw","team_loss","team_goals_for","team_goals_against"
"1967–68 Bundesliga","11","Alemannia Aachen","34","34","13","8","13","52","66"
"1967–68 Bundesliga","12","1860 Munich","33","34","11","11","12","55","39"
"1967–68 Bundesliga","13","Hamburger SV","33","34","11","11","12","51","54"
"1967–68 Bundesliga","14","Borussia Dortmund","31","34","12","7","15","60","59"
"1967–68 Bundesliga","15","Schalke 04","30","34","11","8","15","42","48"
"1967–68 Bundesliga","16","1. FC Kaiserslautern","28","34","8","12","14","39","67"
"1967–68 Bundesliga","17","Borussia Neunkirchen","19","34","7","5","22","33","93"
"1967–68 Bundesliga","18","Karlsruher SC","17","34","6","5","23","32","70"
"1968–69 Bundesliga","1","Bayern Munich","46","34","18","10","6","61","31"
"1968–69 Bundesliga","2","Alemannia Aachen","38","34","16","6","12","57","51"
"1968–69 Bundesliga","3","Borussia Mönchengladbach","37","34","13","11","10","61","46"
"1968–69 Bundesliga","4","Eintracht Braunschweig","37","34","13","11","10","46","43"
"1968–69 Bundesliga","5","VfB Stuttgart","36","34","14","8","12","60","54"
"1968–69 Bundesliga","6","Hamburger SV","36","34","13","10","11","55","55"
"1968–69 Bundesliga","7","Schalke 04","35","34","14","7","13","45","40"
"1968–69 Bundesliga","8","Eintracht Frankfurt","34","34","13","8","13","46","43"
"1968–69 Bundesliga","9","Werder Bremen","34","34","14","6","14","59","59"
"1968–69 Bundesliga","10","1860 Munich","34","34","15","4","15","44","59"
"1968–69 Bundesliga","11","Hannover 96","32","34","9","14","11","47","45"
"1968–69 Bundesliga","12","MSV Duisburg","32","34","8","16","10","33","37"
"1968–69 Bundesliga","13","1. FC Köln","32","34","13","6","15","47","56"
"1968–69 Bundesliga","14","Hertha BSC","32","34","12","8","14","31","39"
"1968–69 Bundesliga","15","1. FC Kaiserslautern","30","34","12","6","16","45","47"
"1968–69 Bundesliga","16","Borussia Dortmund","30","34","11","8","15","49","54"
"1968–69 Bundesliga","17","1. FC Nürnberg","29","34","9","11","14","45","55"
"1968–69 Bundesliga","18","Kickers Offenbach","28","34","10","8","16","42","59"
"1969–70 Bundesliga","1","Borussia Mönchengladbach","51","34","23","5","6","71","29"
"1969–70 Bundesliga","2","Bayern Munich","47","34","21","5","8","88","37"
"1969–70 Bundesliga","3","Hertha BSC","45","34","20","5","9","67","41"
