season,position,club,points,played,win,draw,loss,GF,GA,GD,city
1967–68,12,TSV 1860 Munich,33,34,11,11,12,55,39,16,Munich
1967–68,13,Hamburger SV,33,34,11,11,12,51,54,-3,Hamburg
1967–68,14,Borussia Dortmund,31,34,12,7,15,60,59,1,Dortmund
1967–68,15,FC Schalke 04,30,34,11,8,15,42,48,-6,Gelsenkirchen
1967–68,16,1. FC Kaiserslautern,28,34,8,12,14,39,67,-28,Kaiserslautern
1967–68,17,Borussia Neunkirchen,19,34,7,5,22,33,93,-60,Neunkirchen
1967–68,18,Karlsruher SC,17,34,6,5,23,32,70,-38,Karlsruhe
1968–69,1,FC Bayern Munich,46,34,18,10,6,61,31,30,Munich
1968–69,2,Alemannia Aachen,38,34,16,6,12,57,51,6,Aachen
1968–69,3,Borussia Mönchengladbach,37,34,13,11,10,61,46,15,Mönchengladbach
1968–69,4,Eintracht Braunschweig,37,34,13,11,10,46,43,3,Braunschweig
1968–69,5,VfB Stuttgart,36,34,14,8,12,60,54,6,Stuttgart
1968–69,6,Hamburger SV,36,34,13,10,11,55,55,0,Hamburg
1968–69,7,FC Schalke 04,35,34,14,7,13,45,40,5,Gelsenkirchen
1968–69,8,Eintracht Frankfurt,34,34,13,8,13,46,43,3,Frankfurt
1968–69,9,Werder Bremen,34,34,14,6,14,59,59,0,Bremen
1968–69,10,TSV 1860 Munich,34,34,15,4,15,44,59,-15,Munich
1968–69,11,Hannover 96,32,34,9,14,11,47,45,2,Hanover
1968–69,12,MSV Duisburg,32,34,8,16,10,33,37,-4,Duisburg
1968–69,13,1. FC Köln,32,34,13,6,15,47,56,-9,Cologne
1968–69,14,Hertha BSC,32,34,12,8,14,31,39,-8,Berlin
1968–69,15,1. FC Kaiserslautern,30,34,12,6,16,45,47,-2,Kaiserslautern
1968–69,16,Borussia Dortmund,30,34,11,8,15,49,54,-5,Dortmund
1968–69,17,1. FC Nürnberg,29,34,9,11,14,45,55,-10,Nuremberg
1968–69,18,Kickers Offenbach,28,34,10,8,16,42,59,-17,Offenbach
1969–70,1,Borussia Mönchengladbach,51,34,23,5,6,71,29,42,Mönchengladbach
1969–70,2,FC Bayern Munich,47,34,21,5,8,88,37,51,Munich
1969–70,3,Hertha BSC,45,34,20,5,9,67,41,26,Berlin
1969–70,4,1. FC Köln,43,34,20,3,11,83,38,45,Cologne
1969–70,5,Borussia Dortmund,36,34,14,8,12,60,67,-7,Dortmund
1969–70,6,Hamburger SV,35,34,12,11,11,57,54,3,Hamburg
1969–70,7,VfB Stuttgart,35,34,14,7,13,59,62,-3,Stuttgart
1969–70,8,Eintracht Frankfurt,34,34,12,10,12,54,54,0,Frankfurt
1969–70,9,FC Schalke 04,34,34,11,12,11,43,54,-11,Gelsenkirchen
1969–70,10,1. FC Kaiserslautern,32,34,10,12,12,44,55,-11,Kaiserslautern
1969–70,11,Werder Bremen,31,34,10,11,13,38,47,-9,Bremen
1969–70,12,Rot-Weiss Essen,31,34,8,15,11,41,54,-13,Essen
1969–70,13,Hannover 96,30,34,11,8,15,49,61,-12,Hanover
1969–70,14,Rot-Weiß Oberhausen,29,34,11,7,16,50,62,-12,Oberhausen
1969–70,15,MSV Duisburg,29,34,9,11,14,35,48,-13,Duisburg
1969–70,16,Eintracht Braunschweig,28,34,9,10,15,40,49,-9,Braunschweig
1969–70,17,TSV 1860 Munich,25,34,9,7,18,41,56,-15,Munich
1969–70,18,Alemannia Aachen,17,34,5,7,22,31,83,-52,Aachen
1970–71,1,Borussia Mönchengladbach,50,34,20,10,4,77,35,42,Mönchengladbach
1970–71,2,FC Bayern Munich,48,34,19,10,5,74,36,38,Munich
1970–71,3,Hertha BSC,41,34,16,9,9,61,43,18,Berlin
1970–71,4,Eintracht Braunschweig,39,34,16,7,11,52,40,12,Braunschweig
1970–71,5,Hamburger SV,37,34,13,11,10,54,63,-9,Hamburg
1970–71,6,FC Schalke 04,36,34,15,6,13,44,40,4,Gelsenkirchen
1970–71,7,MSV Duisburg,35,34,12,11,11,43,47,-4,Duisburg
1970–71,8,1. FC Kaiserslautern,34,34,15,4,15,54,57,-3,Kaiserslautern
1970–71,9,Hannover 96,33,34,12,9,13,53,49,4,Hanover
1970–71,10,Werder Bremen,33,34,11,11,12,41,40,1,Bremen
1970–71,11,1. FC Köln,33,34,11,11,12,46,56,-10,Cologne
1970–71,12,VfB Stuttgart,30,34,11,8,15,49,49,0,Stuttgart
1970–71,13,Borussia Dortmund,29,34,10,9,15,54,60,-6,Dortmund
1970–71,14,Arminia Bielefeld,29,34,12,5,17,34,53,-19,Bielefeld
1970–71,15,Eintracht Frankfurt,28,34,11,6,17,39,56,-17,Frankfurt
1970–71,16,Rot-Weiß Oberhausen,27,34,9,9,16,54,69,-15,Oberhausen
1970–71,17,Kickers Offenbach,27,34,9,9,16,49,65,-16,Offenbach
1970–71,18,Rot-Weiss Essen,23,34,7,9,18,48,68,-20,Essen
1971–72,1,FC Bayern Munich,55,34,24,7,3,101,38,63,Munich
1971–72,2,FC Schalke 04,52,34,24,4,6,76,35,41,Gelsenkirchen
1971–72,3,Borussia Mönchengladbach,43,34,18,7,9,82,40,42,Mönchengladbach
1971–72,4,1. FC Köln,43,34,15,13,6,64,44,20,Cologne
1971–72,5,Eintracht Frankfurt,39,34,16,7,11,71,61,10,Frankfurt
1971–72,6,Hertha BSC,37,34,14,9,11,46,55,-9,Berlin
1971–72,7,1. FC Kaiserslautern,35,34,14,7,13,59,53,6,Kaiserslautern
1971–72,8,VfB Stuttgart,35,34,13,9,12,52,56,-4,Stuttgart
1971–72,9,VfL Bochum,34,34,14,6,14,59,69,-10,Bochum
1971–72,10,Hamburger SV,33,34,13,7,14,52,52,0,Hamburg
1971–72,11,Werder Bremen,31,34,11,9,14,63,58,5,Bremen
1971–72,12,Eintracht Braunschweig,31,34,8,15,11,43,48,-5,Braunschweig
1971–72,13,Fortuna Düsseldorf,30,34,10,10,14,40,53,-13,Düsseldorf
1971–72,14,MSV Duisburg,27,34,10,7,17,36,51,-15,Duisburg
1971–72,15,Rot-Weiß Oberhausen,25,34,7,11,16,33,66,-33,Oberhausen
1971–72,16,Hannover 96,23,34,10,3,21,54,69,-15,Hanover
1971–72,17,Borussia Dortmund,20,34,6,8,20,34,83,-49,Dortmund
