season,position,club,points,played,win,draw,loss,GF,GA,GD,city
1982–83,8,Arminia Bielefeld,31,34,12,7,15,46,71,-25,Bielefeld
1982–83,9,Fortuna Düsseldorf,30,34,11,8,15,63,75,-12,Düsseldorf
1982–83,10,Eintracht Frankfurt,29,34,12,5,17,48,57,-9,Frankfurt
1982–83,11,Bayer Leverkusen,29,34,10,9,15,43,66,-23,Leverkusen
1982–83,12,Borussia Mönchengladbach,28,34,12,4,18,64,63,1,Mönchengladbach
1982–83,13,VfL Bochum,28,34,8,12,14,43,49,-6,Bochum
1982–83,14,1. FC Nürnberg,28,34,11,6,17,44,70,-26,Nuremberg
1982–83,15,Eintracht Braunschweig,27,34,8,11,15,42,65,-23,Braunschweig
1982–83,16,FC Schalke 04,22,34,8,6,20,48,68,-20,Gelsenkirchen
1982–83,17,Karlsruher SC,21,34,7,7,20,39,86,-47,Karlsruhe
1982–83,18,Hertha BSC,20,34,5,10,19,43,67,-24,Berlin
1983–84,1,VfB Stuttgart,48,34,19,10,5,79,33,46,Stuttgart
1983–84,2,Hamburger SV,48,34,21,6,7,75,36,39,Hamburg
1983–84,3,Borussia Mönchengladbach,48,34,21,6,7,81,48,33,Mönchengladbach
1983–84,4,FC Bayern Munich,47,34,20,7,7,84,41,43,Munich
1983–84,5,Werder Bremen,45,34,19,7,8,79,46,33,Bremen
1983–84,6,1. FC Köln,38,34,16,6,12,70,57,13,Cologne
1983–84,7,Bayer Leverkusen,34,34,13,8,13,50,50,0,Leverkusen
1983–84,8,Arminia Bielefeld,33,34,12,9,13,40,49,-9,Bielefeld
1983–84,9,Eintracht Braunschweig,32,34,13,6,15,54,69,-15,Braunschweig
1983–84,10,KFC Uerdingen,31,34,12,7,15,66,79,-13,Krefeld
1983–84,11,Waldhof Mannheim,31,34,10,11,13,45,58,-13,Mannheim
1983–84,12,1. FC Kaiserslautern,30,34,12,6,16,68,69,-1,Kaiserslautern
1983–84,13,Borussia Dortmund,30,34,11,8,15,54,65,-11,Dortmund
1983–84,14,Fortuna Düsseldorf,29,34,11,7,16,63,75,-12,Düsseldorf
1983–84,15,VfL Bochum,28,34,10,8,16,58,70,-12,Bochum
1983–84,16,Eintracht Frankfurt,27,34,7,13,14,45,61,-16,Frankfurt
1983–84,17,Kickers Offenbach,19,34,7,5,22,48,106,-58,Offenbach
1983–84,18,1. FC Nürnberg,14,34,6,2,26,38,85,-47,Nuremberg
1984–85,1,FC Bayern Munich,50,34,21,8,5,79,38,41,Munich
1984–85,2,Werder Bremen,46,34,18,10,6,87,51,36,Bremen
1984–85,3,1. FC Köln,40,34,18,4,12,69,66,3,Cologne
1984–85,4,Borussia Mönchengladbach,39,34,15,9,10,77,53,24,Mönchengladbach
1984–85,5,Hamburger SV,37,34,14,9,11,58,49,9,Hamburg
1984–85,6,Waldhof Mannheim,37,34,13,11,10,47,50,-3,Mannheim
1984–85,7,KFC Uerdingen,36,34,14,8,12,57,52,5,Krefeld
1984–85,8,FC Schalke 04,34,34,13,8,13,63,62,1,Gelsenkirchen
1984–85,9,VfL Bochum,34,34,12,10,12,52,54,-2,Bochum
1984–85,10,VfB Stuttgart,33,34,14,5,15,79,59,20,Stuttgart
1984–85,11,1. FC Kaiserslautern,33,34,11,11,12,56,60,-4,Kaiserslautern
1984–85,12,Eintracht Frankfurt,32,34,10,12,12,62,67,-5,Frankfurt
1984–85,13,Bayer Leverkusen,31,34,9,13,12,52,54,-2,Leverkusen
1984–85,14,Borussia Dortmund,30,34,13,4,17,51,65,-14,Dortmund
1984–85,15,Fortuna Düsseldorf,29,34,10,9,15,53,66,-13,Düsseldorf
1984–85,16,Arminia Bielefeld,29,34,8,13,13,46,61,-15,Bielefeld
1984–85,17,Karlsruher SC,22,34,5,12,17,47,88,-41,Karlsruhe
1984–85,18,Eintracht Braunschweig,20,34,9,2,23,39,79,-40,Braunschweig
1985–86,1,FC Bayern Munich,49,34,21,7,6,82,31,51,Munich
1985–86,2,Werder Bremen,49,34,20,9,5,83,41,42,Bremen
1985–86,3,KFC Uerdingen,45,34,19,7,8,63,60,3,Krefeld
1985–86,4,Borussia Mönchengladbach,42,34,15,12,7,65,51,14,Mönchengladbach
1985–86,5,VfB Stuttgart,41,34,17,7,10,69,45,24,Stuttgart
1985–86,6,Bayer Leverkusen,40,34,15,10,9,63,51,12,Leverkusen
1985–86,7,Hamburger SV,39,34,17,5,12,52,35,17,Hamburg
1985–86,8,Waldhof Mannheim,33,34,11,11,12,41,44,-3,Mannheim
1985–86,9,VfL Bochum,32,34,14,4,16,55,57,-2,Bochum
1985–86,10,FC Schalke 04,30,34,11,8,15,53,58,-5,Gelsenkirchen
1985–86,11,1. FC Kaiserslautern,30,34,10,10,14,49,54,-5,Kaiserslautern
1985–86,12,1. FC Nürnberg,29,34,12,5,17,51,54,-3,Nuremberg
1985–86,13,1. FC Köln,29,34,9,11,14,46,59,-13,Cologne
1985–86,14,Fortuna Düsseldorf,29,34,11,7,16,54,78,-24,Düsseldorf
1985–86,15,Eintracht Frankfurt,28,34,7,14,13,35,49,-14,Frankfurt
1985–86,16,Borussia Dortmund,28,34,10,8,16,49,65,-16,Dortmund
1985–86,17,1. FC Saarbrücken,21,34,6,9,19,39,68,-29,Saarbrücken
1985–86,18,Hannover 96,18,34,5,8,21,43,92,-49,Hanover
1986–87,1,FC Bayern Munich,53,34,20,13,1,67,31,36,Munich
1986–87,2,Hamburger SV,47,34,19,9,6,69,37,32,Hamburg
1986–87,3,Borussia Mönchengladbach,43,34,18,7,9,74,44,30,Mönchengladbach
1986–87,4,Borussia Dortmund,40,34,15,10,9,70,50,20,Dortmund
1986–87,5,Werder Bremen,40,34,17,6,11,65,54,11,Bremen
1986–87,6,Bayer Leverkusen,39,34,16,7,11,56,38,18,Leverkusen
1986–87,7,1. FC Kaiserslautern,37,34,15,7,12,64,51,13,Kaiserslautern
1986–87,8,KFC Uerdingen,35,34,12,11,11,51,49,2,Krefeld
1986–87,9,1. FC Nürnberg,35,34,12,11,11,62,62,0,Nuremberg
1986–87,10,1. FC Köln,35,34,13,9,12,50,53,-3,Cologne
1986–87,11,VfL Bochum,32,34,9,14,11,52,44,8,Bochum
1986–87,12,VfB Stuttgart,32,34,13,6,15,55,49,6,Stuttgart
1986–87,13,FC Schalke 04,32,34,12,8,14,50,58,-8,Gelsenkirchen
1986–87,14,Waldhof Mannheim,28,34,10,8,16,52,71,-19,Mannheim
1986–87,15,Eintracht Frankfurt,25,34,8,9,17,42,53,-11,Frankfurt
1986–87,16,FC 08 Homburg,21,34,6,9,19,33,79,-46,Homburg
1986–87,17,Fortuna Düsseldorf,20,34,7,6,21,42,91,-49,Düsseldorf
1986–87,18,Blau-Weiß 90 Berlin,18,34,3,12,19,36,76,-40,Berlin
1987–88,1,Werder Bremen,52,34,22,8,4,61,22,39,Bremen
1987–88,2,FC Bayern Munich,48,34,22,4,8,83,45,38,Munich
1987–88,3,1. FC Köln,48,34,18,12,4,57,28,29,Cologne
1987–88,4,VfB Stuttgart,40,34,16,8,10,69,49,20,Stuttgart
1987–88,5,1. FC Nürnberg,37,34,13,11,10,44,40,4,Nuremberg
1987–88,6,Hamburger SV,37,34,13,11,10,63,68,-5,Hamburg
1987–88,7,Borussia Mönchengladbach,33,34,14,5,15,55,53,2,Mönchengladbach
1987–88,8,Bayer Leverkusen,32,34,10,12,12,53,60,-7,Leverkusen
1987–88,9,Eintracht Frankfurt,31,34,10,11,13,51,50,1,Frankfurt
1987–88,10,Hannover 96,31,34,12,7,15,59,60,-1,Hanover
1987–88,11,KFC Uerdingen,31,34,11,9,14,59,61,-2,Krefeld
1987–88,12,VfL Bochum,30,34,10,10,14,47,51,-4,Bochum
1987–88,13,Borussia Dortmund,29,34,9,11,14,51,54,-3,Dortmund
1987–88,14,1. FC Kaiserslautern,29,34,11,7,16,53,62,-9,Kaiserslautern
1987–88,15,Karlsruher SC,29,34,9,11,14,37,55,-18,Karlsruhe
1987–88,16,Waldhof Mannheim,28,34,7,14,13,35,50,-15,Mannheim
1987–88,17,FC 08 Homburg,24,34,7,10,17,37,70,-33,Homburg
1987–88,18,FC Schalke 04,23,34,8,7,19,48,84,-36,Gelsenkirchen
1988–89,1,FC Bayern Munich,50,34,19,12,3,67,26,41,Munich
1988–89,2,1. FC Köln,45,34,18,9,7,58,30,28,Cologne
1988–89,3,Werder Bremen,44,34,18,8,8,55,32,23,Bremen
1988–89,4,Hamburger SV,43,34,17,9,8,60,36,24,Hamburg
1988–89,5,VfB Stuttgart,39,34,16,7,11,58,49,9,Stuttgart
1988–89,6,Borussia Mönchengladbach,38,34,12,14,8,44,43,1,Mönchengladbach
1988–89,7,Borussia Dortmund,37,34,12,13,9,56,40,16,Dortmund
1988–89,8,Bayer Leverkusen,34,34,10,14,10,45,44,1,Leverkusen
1988–89,9,1. FC Kaiserslautern,33,34,10,13,11,47,44,3,Kaiserslautern
1988–89,10,FC St. Pauli,32,34,9,14,11,41,42,-1,Hamburg
1988–89,11,Karlsruher SC,32,34,12,8,14,48,51,-3,Karlsruhe
1988–89,12,Waldhof Mannheim,31,34,10,11,13,43,52,-9,Mannheim
1988–89,13,KFC Uerdingen,31,34,10,11,13,50,60,-10,Krefeld
1988–89,14,1. FC Nürnberg,26,34,8,10,16,36,54,-18,Nuremberg
1988–89,15,VfL Bochum,26,34,9,8,17,37,57,-20,Bochum
1988–89,16,Eintracht Frankfurt,26,34,8,10,16,30,53,-23,Frankfurt
1988–89,17,Stuttgarter Kickers,26,34,10,6,18,41,68,-27,Stuttgart
1988–89,18,Hannover 96,19,34,4,11,19,36,71,-35,Hanover
1989–90,1,FC Bayern Munich,49,34,19,11,4,64,28,36,Munich
1989–90,2,1. FC Köln,43,34,17,9,8,54,44,10,Cologne
1989–90,3,Eintracht Frankfurt,41,34,15,11,8,61,40,21,Frankfurt
1989–90,4,Borussia Dortmund,41,34,15,11,8,51,35,16,Dortmund
1989–90,5,Bayer Leverkusen,39,34,12,15,7,40,32,8,Leverkusen
1989–90,6,VfB Stuttgart,36,34,15,6,13,53,47,6,Stuttgart
1989–90,7,Werder Bremen,34,34,10,14,10,49,41,8,Bremen
1989–90,8,1. FC Nürnberg,33,34,11,11,12,42,46,-4,Nuremberg
1989–90,9,Fortuna Düsseldorf,32,34,10,12,12,41,41,0,Düsseldorf
1989–90,10,Karlsruher SC,32,34,10,12,12,32,39,-7,Karlsruhe
1989–90,11,Hamburger SV,31,34,13,5,16,39,46,-7,Hamburg
1989–90,12,1. FC Kaiserslautern,31,34,10,11,13,42,55,-13,Kaiserslautern
1989–90,13,FC St. Pauli,31,34,9,13,12,31,46,-15,Hamburg
1989–90,14,KFC Uerdingen,30,34,10,10,14,41,48,-7,Krefeld
1989–90,15,Borussia Mönchengladbach,30,34,11,8,15,37,45,-8,Mönchengladbach
1989–90,16,VfL Bochum,29,34,11,7,16,44,53,-9,Bochum
1989–90,17,Waldhof Mannheim,26,34,10,6,18,36,53,-17,Mannheim
1989–90,18,FC 08 Homburg,24,34,8,8,18,33,51,-18,Homburg
1990–91,1,1. FC Kaiserslautern,48,34,19,10,5,72,45,27,Kaiserslautern
1990–91,2,FC Bayern Munich,45,34,18,9,7,74,41,33,Munich
1990–91,3,Werder Bremen,42,34,14,14,6,46,29,17,Bremen
1990–91,4,Eintracht Frankfurt,40,34,15,10,9,63,40,23,Frankfurt
1990–91,5,Hamburger SV,40,34,16,8,10,60,38,22,Hamburg
1990–91,6,VfB Stuttgart,38,34,14,10,10,57,44,13,Stuttgart
1990–91,7,1. FC Köln,37,34,13,11,10,50,43,7,Cologne
1990–91,8,Bayer Leverkusen,35,34,11,13,10,47,46,1,Leverkusen
1990–91,9,Borussia Mönchengladbach,35,34,9,17,8,49,54,-5,Mönchengladbach
1990–91,10,Borussia Dortmund,34,34,10,14,10,46,57,-11,Dortmund
1990–91,11,SG Wattenscheid 09,33,34,9,15,10,42,51,-9,Bochum
1990–91,12,Fortuna Düsseldorf,32,34,11,10,13,40,49,-9,Düsseldorf
1990–91,13,Karlsruher SC,31,34,8,15,11,46,52,-6,Karlsruhe
1990–91,14,VfL Bochum,29,34,9,11,14,50,52,-2,Bochum
1990–91,15,1. FC Nürnberg,29,34,10,9,15,40,54,-14,Nuremberg
1990–91,16,FC St. Pauli,27,34,6,15,13,33,53,-20,Hamburg
1990–91,17,KFC Uerdingen,23,34,5,13,16,34,54,-20,Krefeld
1990–91,18,Hertha BSC,14,34,3,8,23,37,84,-47,Berlin
1991–92,1,VfB Stuttgart,52,38,21,10,7,62,32,30,Stuttgart
1991–92,2,Borussia Dortmund,52,38,20,12,6,66,47,19,Dortmund
1991–92,3,Eintracht Frankfurt,50,38,18,14,6,76,41,35,Frankfurt
1991–92,4,1. FC Köln,44,38,13,18,7,58,41,17,Cologne
1991–92,5,1. FC Kaiserslautern,44,38,17,10,11,58,42,16,Kaiserslautern
1991–92,6,Bayer Leverkusen,43,38,15,13,10,53,39,14,Leverkusen
1991–92,7,1. FC Nürnberg,43,38,18,7,13,54,51,3,Nuremberg
1991–92,8,Karlsruher SC,41,38,16,9,13,48,50,-2,Karlsruhe
1991–92,9,Werder Bremen,38,38,11,16,11,44,45,-1,Bremen
1991–92,10,FC Bayern Munich,36,38,13,10,15,59,61,-2,Munich
1991–92,11,FC Schalke 04,34,38,11,12,15,45,45,0,Gelsenkirchen
1991–92,12,Hamburger SV,34,38,9,16,13,32,43,-11,Hamburg
1991–92,13,Borussia Mönchengladbach,34,38,10,14,14,37,49,-12,Mönchengladbach
1991–92,14,Dynamo Dresden,34,38,12,10,16,34,50,-16,Dresden
1991–92,15,VfL Bochum,33,38,10,13,15,38,55,-17,Bochum
1991–92,16,SG Wattenscheid 09,32,38,9,14,15,50,60,-10,Bochum
1991–92,17,Stuttgarter Kickers,31,38,10,11,17,53,64,-11,Stuttgart
1991–92,18,Hansa Rostock,31,38,10,11,17,43,55,-12,Rostock
1991–92,19,MSV Duisburg,30,38,7,16,15,43,55,-12,Duisburg
1991–92,20,Fortuna Düsseldorf,24,38,6,12,20,41,69,-28,Düsseldorf
1992–93,1,Werder Bremen,48,34,19,10,5,63,30,33,Bremen
1992–93,2,FC Bayern Munich,47,34,18,11,5,74,45,29,Munich
1992–93,3,Eintracht Frankfurt,42,34,15,12,7,56,39,17,Frankfurt
1992–93,4,Borussia Dortmund,41,34,18,5,11,61,43,18,Dortmund
1992–93,5,Bayer Leverkusen,40,34,14,12,8,64,45,19,Leverkusen
1992–93,6,Karlsruher SC,39,34,14,11,9,60,54,6,Karlsruhe
1992–93,7,VfB Stuttgart,36,34,12,12,10,56,50,6,Stuttgart
1992–93,8,1. FC Kaiserslautern,35,34,13,9,12,50,40,10,Kaiserslautern
1992–93,9,Borussia Mönchengladbach,35,34,13,9,12,59,59,0,Mönchengladbach
1992–93,10,FC Schalke 04,34,34,11,12,11,42,43,-1,Gelsenkirchen
1992–93,11,Hamburger SV,31,34,8,15,11,42,44,-2,Hamburg
1992–93,12,1. FC Köln,28,34,12,4,18,41,51,-10,Cologne
1992–93,13,1. FC Nürnberg,28,34,10,8,16,30,47,-17,Nuremberg
1992–93,14,SG Wattenscheid 09,28,34,10,8,16,46,67,-21,Bochum
1992–93,15,Dynamo Dresden,27,34,7,13,14,32,49,-17,Dresden
1992–93,16,VfL Bochum,26,34,8,10,16,45,52,-7,Bochum
1992–93,17,KFC Uerdingen,24,34,7,10,17,35,64,-29,Krefeld
1992–93,18,1. FC Saarbrücken,23,34,5,13,16,37,71,-34,Saarbrücken
1993–94,1,FC Bayern Munich,44,34,17,10,7,68,37,31,Munich
1993–94,2,1. FC Kaiserslautern,43,34,18,7,9,64,36,28,Kaiserslautern
1993–94,3,Bayer Leverkusen,39,34,14,11,9,60,47,13,Leverkusen
1993–94,4,Borussia Dortmund,39,34,15,9,10,49,45,4,Dortmund
1993–94,5,Eintracht Frankfurt,38,34,15,8,11,57,41,16,Frankfurt
1993–94,6,Karlsruher SC,38,34,14,10,10,46,43,3,Karlsruhe
1993–94,7,VfB Stuttgart,37,34,13,11,10,51,43,8,Stuttgart
1993–94,8,Werder Bremen,36,34,13,10,11,51,44,7,Bremen
1993–94,9,MSV Duisburg,36,34,14,8,12,41,52,-11,Duisburg
1993–94,10,Borussia Mönchengladbach,35,34,14,7,13,65,59,6,Mönchengladbach
1993–94,11,1. FC Köln,34,34,14,6,14,49,51,-2,Cologne
1993–94,12,Hamburger SV,34,34,13,8,13,48,52,-4,Hamburg
1993–94,13,Dynamo Dresden,30,34,10,14,10,33,44,-11,Dresden
1993–94,14,FC Schalke 04,29,34,10,9,15,38,50,-12,Gelsenkirchen
1993–94,15,SC Freiburg,28,34,10,8,16,54,57,-3,Freiburg
1993–94,16,1. FC Nürnberg,28,34,10,8,16,41,55,-14,Nuremberg
1993–94,17,SG Wattenscheid 09,23,34,6,11,17,48,70,-22,Bochum
1993–94,18,VfB Leipzig,17,34,3,11,20,32,69,-37,Leipzig
1994–95,1,Borussia Dortmund,49,34,20,9,5,67,33,34,Dortmund
1994–95,2,Werder Bremen,48,34,20,8,6,70,39,31,Bremen
1994–95,3,SC Freiburg,46,34,20,6,8,66,44,22,Freiburg
1994–95,4,1. FC Kaiserslautern,46,34,17,12,5,58,41,17,Kaiserslautern
1994–95,5,Borussia Mönchengladbach,43,34,17,9,8,66,41,25,Mönchengladbach
1994–95,6,FC Bayern Munich,43,34,15,13,6,55,41,14,Munich
1994–95,7,Bayer Leverkusen,36,34,13,10,11,62,51,11,Leverkusen
1994–95,8,Karlsruher SC,36,34,11,14,9,51,47,4,Karlsruhe
1994–95,9,Eintracht Frankfurt,33,34,12,9,13,41,49,-8,Frankfurt
1994–95,10,1. FC Köln,32,34,11,10,13,54,54,0,Cologne
1994–95,11,FC Schalke 04,31,34,10,11,13,48,54,-6,Gelsenkirchen
1994–95,12,VfB Stuttgart,30,34,10,10,14,52,66,-14,Stuttgart
1994–95,13,Hamburger SV,29,34,10,9,15,43,50,-7,Hamburg
1994–95,14,TSV 1860 Munich,27,34,8,11,15,41,57,-16,Munich
1994–95,15,KFC Uerdingen,25,34,7,11,16,37,52,-15,Krefeld
1994–95,16,VfL Bochum,22,34,9,4,21,43,67,-24,Bochum
1994–95,17,MSV Duisburg,20,34,6,8,20,31,64,-33,Duisburg
1994–95,18,Dynamo Dresden,16,34,4,8,22,33,68,-35,Dresden
1995–96,1,Borussia Dortmund,68,34,19,11,4,76,38,38,Dortmund
1995–96,2,FC Bayern Munich,62,34,19,5,10,66,46,20,Munich
1995–96,3,FC Schalke 04,56,34,14,14,6,45,36,9,Gelsenkirchen
1995–96,4,Borussia Mönchengladbach,53,34,15,8,11,52,51,1,Mönchengladbach
1995–96,5,Hamburger SV,50,34,12,14,8,52,47,5,Hamburg
1995–96,6,Hansa Rostock,49,34,13,10,11,47,43,4,Rostock
1995–96,7,Karlsruher SC,48,34,12,12,10,53,47,6,Karlsruhe
1995–96,8,TSV 1860 Munich,45,34,11,12,11,52,46,6,Munich
1995–96,9,Werder Bremen,44,34,10,14,10,39,42,-3,Bremen
1995–96,10,VfB Stuttgart,43,34,10,13,11,59,62,-3,Stuttgart
1995–96,11,SC Freiburg,42,34,11,9,14,30,41,-11,Freiburg
1995–96,12,1. FC Köln,40,34,9,13,12,33,35,-2,Cologne
1995–96,13,Fortuna Düsseldorf,40,34,8,16,10,40,47,-7,Düsseldorf
1995–96,14,Bayer Leverkusen,38,34,8,14,12,37,38,-1,Leverkusen
1995–96,15,FC St. Pauli,38,34,9,11,14,43,51,-8,Hamburg
1995–96,16,1. FC Kaiserslautern,36,34,6,18,10,31,37,-6,Kaiserslautern
1995–96,17,Eintracht Frankfurt,32,34,7,11,16,43,68,-25,Frankfurt
1995–96,18,KFC Uerdingen,26,34,5,11,18,33,56,-23,Krefeld
1996–97,1,FC Bayern Munich,71,34,20,11,3,68,34,34,Munich
1996–97,2,Bayer Leverkusen,69,34,21,6,7,69,41,28,Leverkusen
1996–97,3,Borussia Dortmund,63,34,19,6,9,63,41,22,Dortmund
1996–97,4,VfB Stuttgart,61,34,18,7,9,78,40,38,Stuttgart
1996–97,5,VfL Bochum,53,34,14,11,9,54,51,3,Bochum
1996–97,6,Karlsruher SC,49,34,13,10,11,55,44,11,Karlsruhe
1996–97,7,TSV 1860 Munich,49,34,13,10,11,56,56,0,Munich
1996–97,8,Werder Bremen,48,34,14,6,14,53,52,1,Bremen
1996–97,9,MSV Duisburg,45,34,12,9,13,44,49,-5,Duisburg
1996–97,10,1. FC Köln,44,34,13,5,16,62,62,0,Cologne
1996–97,11,Borussia Mönchengladbach,43,34,12,7,15,46,48,-2,Mönchengladbach
1996–97,12,FC Schalke 04,43,34,11,10,13,35,40,-5,Gelsenkirchen
1996–97,13,Hamburger SV,41,34,10,11,13,46,60,-14,Hamburg
1996–97,14,Arminia Bielefeld,40,34,11,7,16,46,54,-8,Bielefeld
1996–97,15,Hansa Rostock,40,34,11,7,16,35,46,-11,Rostock
1996–97,16,Fortuna Düsseldorf,33,34,9,6,19,26,57,-31,Düsseldorf
1996–97,17,SC Freiburg,29,34,8,5,21,43,67,-24,Freiburg
1996–97,18,FC St. Pauli,27,34,7,6,21,32,69,-37,Hamburg
1997–98,1,1. FC Kaiserslautern,68,34,19,11,4,63,39,24,Kaiserslautern
1997–98,2,FC Bayern Munich,66,34,19,9,6,69,37,32,Munich
1997–98,3,Bayer Leverkusen,55,34,14,13,7,66,39,27,Leverkusen
1997–98,4,VfB Stuttgart,52,34,14,10,10,55,49,6,Stuttgart
1997–98,5,FC Schalke 04,52,34,13,13,8,38,32,6,Gelsenkirchen
1997–98,6,Hansa Rostock,51,34,14,9,11,54,46,8,Rostock
1997–98,7,Werder Bremen,50,34,14,8,12,43,47,-4,Bremen
1997–98,8,MSV Duisburg,44,34,11,11,12,43,44,-1,Duisburg
1997–98,9,Hamburger SV,44,34,11,11,12,38,46,-8,Hamburg
1997–98,10,Borussia Dortmund,43,34,11,10,13,57,55,2,Dortmund
1997–98,11,Hertha BSC,43,34,12,7,15,41,53,-12,Berlin
1997–98,12,VfL Bochum,41,34,11,8,15,41,49,-8,Bochum
1997–98,13,TSV 1860 Munich,41,34,11,8,15,43,54,-11,Munich
1997–98,14,VfL Wolfsburg,39,34,11,6,17,38,54,-16,Wolfsburg
1997–98,15,Borussia Mönchengladbach,38,34,9,11,14,54,59,-5,Mönchengladbach
1997–98,16,Karlsruher SC,38,34,9,11,14,48,60,-12,Karlsruhe
1997–98,17,1. FC Köln,36,34,10,6,18,49,64,-15,Cologne
1997–98,18,Arminia Bielefeld,32,34,8,8,18,43,56,-13,Bielefeld
1998–99,1,FC Bayern Munich,78,34,24,6,4,76,28,48,Munich
1998–99,2,Bayer Leverkusen,63,34,17,12,5,61,30,31,Leverkusen
1998–99,3,Hertha BSC,62,34,18,8,8,59,32,27,Berlin
1998–99,4,Borussia Dortmund,57,34,16,9,9,48,34,14,Dortmund
1998–99,5,1. FC Kaiserslautern,57,34,17,6,11,51,47,4,Kaiserslautern
1998–99,6,VfL Wolfsburg,55,34,15,10,9,54,49,5,Wolfsburg
1998–99,7,Hamburger SV,50,34,13,11,10,47,46,1,Hamburg
1998–99,8,MSV Duisburg,49,34,13,10,11,48,45,3,Duisburg
1998–99,9,TSV 1860 Munich,41,34,11,8,15,49,56,-7,Munich
1998–99,10,FC Schalke 04,41,34,10,11,13,41,54,-13,Gelsenkirchen
1998–99,11,VfB Stuttgart,39,34,9,12,13,41,48,-7,Stuttgart
1998–99,12,SC Freiburg,39,34,10,9,15,36,44,-8,Freiburg
1998–99,13,Werder Bremen,38,34,10,8,16,41,47,-6,Bremen
1998–99,14,Hansa Rostock,38,34,9,11,14,49,58,-9,Rostock
1998–99,15,Eintracht Frankfurt,37,34,9,10,15,44,54,-10,Frankfurt
1998–99,16,1. FC Nürnberg,37,34,7,16,11,40,50,-10,Nuremberg
1998–99,17,VfL Bochum,29,34,7,8,19,40,65,-25,Bochum
1998–99,18,Borussia Mönchengladbach,21,34,4,9,21,41,79,-38,Mönchengladbach
1999–2000,1,FC Bayern Munich,73,34,22,7,5,73,28,45,Munich
1999–2000,2,Bayer Leverkusen,73,34,21,10,3,74,36,38,Leverkusen
1999–2000,3,Hamburger SV,59,34,16,11,7,63,39,24,Hamburg
1999–2000,4,TSV 1860 Munich,53,34,14,11,9,55,48,7,Munich
1999–2000,5,1. FC Kaiserslautern,50,34,15,5,14,54,59,-5,Kaiserslautern
1999–2000,6,Hertha BSC,50,34,13,11,10,39,46,-7,Berlin
1999–2000,7,VfL Wolfsburg,49,34,12,13,9,51,58,-7,Wolfsburg
1999–2000,8,VfB Stuttgart,48,34,14,6,14,44,47,-3,Stuttgart
1999–2000,9,Werder Bremen,47,34,13,8,13,65,52,13,Bremen
1999–2000,10,SpVgg Unterhaching,44,34,12,8,14,40,42,-2,Unterhaching
1999–2000,11,Borussia Dortmund,40,34,9,13,12,41,38,3,Dortmund
1999–2000,12,SC Freiburg,40,34,10,10,14,45,50,-5,Freiburg
1999–2000,13,FC Schalke 04,39[b],34,8,15,11,42,44,-2,Gelsenkirchen
1999–2000,14,Eintracht Frankfurt,39[b],34,12,5,17,42,44,-2,Frankfurt
1999–2000,15,Hansa Rostock,38,34,8,14,12,44,60,-16,Rostock
1999–2000,16,SSV Ulm 1846,35,34,9,8,17,36,62,-26,Ulm
1999–2000,17,Arminia Bielefeld,30,34,7,9,18,40,61,-21,Bielefeld
1999–2000,18,MSV Duisburg,22,34,4,10,20,37,71,-34,Duisburg
2000–01,1,FC Bayern Munich,63,34,19,6,9,62,37,25,Munich
2000–01,2,FC Schalke 04,62,34,18,8,8,65,35,30,Gelsenkirchen
2000–01,3,Borussia Dortmund,58,34,16,10,8,62,42,20,Dortmund
2000–01,4,Bayer Leverkusen,57,34,17,6,11,54,40,14,Leverkusen
2000–01,5,Hertha BSC,56,34,18,2,14,58,52,6,Berlin
2000–01,6,SC Freiburg,55,34,15,10,9,54,37,17,Freiburg
2000–01,7,Werder Bremen,53,34,15,8,11,53,48,5,Bremen
2000–01,8,1. FC Kaiserslautern,50,34,15,5,14,49,54,-5,Kaiserslautern
2000–01,9,VfL Wolfsburg,47,34,12,11,11,60,45,15,Wolfsburg
2000–01,10,1. FC Köln,46,34,12,10,12,59,52,7,Cologne
2000–01,11,TSV 1860 Munich,44,34,12,8,14,43,55,-12,Munich
2000–01,12,Hansa Rostock,43,34,12,7,15,34,47,-13,Rostock
2000–01,13,Hamburger SV,41,34,10,11,13,58,58,0,Hamburg
2000–01,14,Energie Cottbus,39,34,12,3,19,38,52,-14,Cottbus
2000–01,15,VfB Stuttgart,38,34,9,11,14,42,49,-7,Stuttgart
2000–01,16,SpVgg Unterhaching,35,34,8,11,15,35,59,-24,Unterhaching
2000–01,17,Eintracht Frankfurt,35,34,10,5,19,41,68,-27,Frankfurt
2000–01,18,VfL Bochum,27,34,7,6,21,30,67,-37,Bochum
2001–02,1,Borussia Dortmund,70,34,21,7,6,62,33,29,Dortmund
2001–02,2,Bayer Leverkusen,69,34,21,6,7,77,38,39,Leverkusen
2001–02,3,FC Bayern Munich,68,34,20,8,6,65,25,40,Munich
2001–02,4,Hertha BSC,61,34,18,7,9,61,38,23,Berlin
2001–02,5,FC Schalke 04,61,34,18,7,9,52,36,16,Gelsenkirchen
2001–02,6,Werder Bremen,56,34,17,5,12,54,43,11,Bremen
2001–02,7,1. FC Kaiserslautern,56,34,17,5,12,62,53,9,Kaiserslautern
2001–02,8,VfB Stuttgart,50,34,13,11,10,47,43,4,Stuttgart
2001–02,9,TSV 1860 Munich,50,34,15,5,14,59,59,0,Munich
2001–02,10,VfL Wolfsburg,46,34,13,7,14,57,49,8,Wolfsburg
